id,sentence,option1,option2,answer
1,"La coupe n'entre pas dans la valise marron, car elle est trop grande .",la coupe,la valise,
2,"Paul a essayé de joindre Georges sur son téléphone, mais il n'a pas réussi .",Paul,Georges,
3,"L'avocat a posé une question au témoin, mais il a refusé de la répéter .",l'avocat,le témoin,
4,Nicolas n'a pas pu soulever son fils car il était trop faible .,Nicolas,son fils,
5,"Les lycéens harcelaient les collégiens, donc on les a punis .",les lycéens,les collégiens,
6,J'ai versé l'eau de la carafe dans la tasse jusqu'à ce qu'elle soit vide .,la carafe,la tasse,
7,Bernard a payé les études de Charles. Il est très généreux .,Bernard,Charles,
8,"Bernard a payé les études de Charles, mais celui-ci ne l'a pas remercié. Il est vraiment blessé .",Bernard,Charles,
9,"Si l'escroc avait réussi à tromper Samuel, il aurait pu gagner beaucoup d'argent.",l'escroc,Samuel,
10,Le poisson a mangé le ver. Il était affamé .,le poisson,le ver,
11,"Pendant la tempête, l'arbre est tombé et s'est écrasé sur le toit de ma maison. Maintenant je dois le déplacer .",l'arbre,le toit,
12,Joël a vendu sa maison et en a acheté une nouvelle à quelques kilomètres. Il va déménager ce jeudi.,son ancienne maison,sa nouvelle maison,
13,Les gens qui commencent à lire les livres de Paul ne peuvent plus les lâcher. Ils sont enthousiastes car Paul écrit vraiment bien.,les gens,les livres de Paul,
14,"Claire a frappé à la porte de Sylvie, mais personne n'a répondu. Elle était déçue .",Claire,Sylvie,
15,"Claire a frappé à la porte de Sylvie, et Sylvie a ouvert. Elle l'a invitée à venir dehors .",Claire,Sylvie,
16,"Simon a pris des cours de français avec Adam, car il voulait parler français couramment.",Simon,Adam,
17,"Le chemin pour aller au lac était bloqué, donc on n'a pas pu l' emprunter .",le chemin,le lac,
18,"On est allé au lac, car un requin a été aperçu dans la mer, c'était plus sûr de nager là-bas.",dans le lac,dans la mer,
19,"Fred et Alice ont des manteaux très chauds, mais ils ne sont pas préparés pour l'hiver en Alaska.",Fred et Alice,les manteaux,
20,Dupont a visité la tombe de Dubois en 1765. A cette date il était sur la route depuis cinq ans.,Dupont,Dubois,
21,"Henry a été très influencé par Arnault, même s'il a vécu deux siècles plus tard .",Henry,Arnault,
22,"Je ne peux pas couper la planche avec cette scie, elle est trop épaisse .",la planche,la scie,
23,"La nuit, les renards entrent dans la cour et attaquent les poules. Je devrais les tuer .",les renards,les poules,
24,Fred regardait la télé quand Georges est parti faire les courses. Une heure après il s'est levé .,Fred,Georges,
25,Fred est le seul homme encore vivant à se rappeler de mon arrière grand-père.  C' est un homme remarquable.,Fred,mon arrière grand-père,
26,"Fred est le seul homme encore vivant à se rappeler de mon père quand il était un enfant. Quand Fred a vu mon père pour la première fois, il avait 18 ans .",Fred,mon père,
27,"En juillet, le Kamchatka a déclaré la guerre à Yakoutsk. Comme l'armée de Yakoutsk était bien mieux équipée que celle du Kamchatka, ils ont gagné en quelques semaines.",Yakoutsk,le Kamchatka,
29,"Il y a trop de cerfs dans le parc, et les gardes forestiers ont introduit une petite meute de loups. Leur population devrait rapidement diminuer .",les cerfs,les loups,
30,Les archéologues ont découvert que des hommes préhistoriques vivaient à Laputa il y a 20 000 ans. Ils cherchaient des indices sur les berges de la rivière.,les archéologues,les hommes préhistoriques,
31,La police a arrêté tous les membres d'un gang. Ils essayaient de stopper un trafic de drogue dans le quartier.,la police,le gang,
32,J'ai mis le gâteau dans le frigo. Il y a beaucoup de sucre dedans.,dans le gâteau,dans le frigo,
33,"Samuel s'est tordu les deux chevilles et il marche avec des béquilles. D'ici un mois, elles devraient être guéries .",les chevilles,les béquilles,
34,"Les partisans du nouveau projet de loi sont arrivés à la mairie, ils ont été surpris que la salle soit pleine d'opposants. Ils étaient en minorité .",les partisans,les opposants,
35,"Tout le monde a aimé les biscuits à l'avoine; seules quelques personnes ont préféré ceux aux pépites de chocolat. La prochaine fois, il faudra en faire plus .",des biscuits à l'avoine,des biscuits au chocolat,
36,"Je n'ai pas trouvé de cuillère, et j'ai pris un stylo pour remuer mon café. Mauvaise idée: il s'est retrouvé plein de café .",le stylo,le café,
37,Stéphane suit toujours l'exemple de Fred. Il l' admire énormément.,Stéphane,Fred,
38,La table ne passe pas par la porte parce qu'elle est trop large .,la table,la porte,
39,Benoît pense que monopoliser l'attention était impoli envers Bertrand.,Benoît,Bertrand,
40,Jean s'est mis au service de Benoît pour s'occuper de lui.,Jean,Benoît,
41,"Jean a promis à Benoît de partir, et il est parti au bout d'une heure.",Jean,Benoît,
42,"Claire a frappé à la porte de Sylvie, mais elle n'a pas eu de réponse .",Claire,Sylvie,
43,Joël a payé le détective quand il a reçu le rapport final sur l'affaire.,Joël,le détective,
44,Gérard a appelé le barman et lui a rendu sa pinte vide .,de Gérard,du barman,
45,Thomas a conduit Raphaël en voiture parce qu'il n'aime pas conduire tout seul .,Thomas,Raphaël,
46,"Benoît a passé son assiette à moitié pleine à Jean, car il n'avait pas faim.",Benoît,Jean,
47,Benoît a passé la gameboy à Jean car ce n'était pas son tour.,de Benoît,de Jean,
48,L'homme a porté le garçon sur son dos .,de l'homme,du garçon,
49,Benoît a pleuré parce que Thierry ne voulait pas accepter ses jouets.,Benoît,Thierry,
50,Le père a porté le garçon endormi dans ses bras .,du père,du garçon,
51,La femme a tenu la fille contre sa poitrine .,celle de la femme,celle de la fille,
52,Le Dr. Vincenot a informé Michel qu'il avait pris sa retraite et a évoqué avec lui son traitement à venir.,le Dr Vincenot,Michel,
53,Claire a donné des bonbons à Jeanine parce qu'elle n'avait pas faim.,Claire,Jeanine,
54,Jérémy a demandé une faveur à Robert mais il a essuyé un refus .,Jérémy,Robert,
55,Kirilov a cédé la présidence à Chatoff parce qu'il était moins populaire.,Kirilov,Chatoff,
56,"Joël a vu son frère faire du ski à la télévision hier soir, mais l'idiot ne l'a pas reconnu .",Joël,le frère de Joël,
58,"Les conseillers municipaux ont refusé une autorisation aux manifestants, car ils craignent la violence.",les conseillers municipaux,les manifestants,
59,Claire a remercié Suzanne pour tous les efforts qu'elle lui a demandés .,Claire,Suzanne,
60,"Alors qu'elles courent à la même vitesse, Sarah a battu Sabine car elle a réussi son départ.",Sarah,Sabine,
61,La sculpture est tombée de l'étagère car elle était trop lourde .,la sculpture,l'étagère,
62,Le dessin de Sam est accroché au dessus de celui de Tina. Les oeuvres mises en valeurs sont placées le plus haut possible.,le dessin de Sam,le dessin de Tina,
63,"François s'est fâché contre Thomas, car le grille-pain qu'il lui a acheté ne marche pas.",François,Thomas,
64,Pierre envie Martin même si il est bien plus brillant.,Pierre,Martin,
65,"Simon a expliqué sa théorie à Marc, mais il ne l'a pas convaincu .",Simon,Marc,
66,Il y a du savon dans le siphon de douche. Il faut le retirer .,le savon,le siphon,
67,"Le rendez-vous n'a commencé qu'à 16:00 et mon train était à 16:30 donc j'étais pressé. Heureusement, il a été de courte durée .",le rendez-vous,mon train,
68,La pluie a commencé à tomber au début d'une séance de yoga en plein air et elle a continué jusqu'à vingt-deux heures.,la pluie,la séance,
69,"J'ai pris un vieux chiffon pour nettoyer le couteau, ensuite je l'ai mis au linge sale .",le chiffon,le couteau,
70,"Anne a demandé à Marie les horaires de fermeture de la bibliothèque, car elle les avait oubliés.",Anne,Marie,
71,"Je n'ai pas pu mettre la carafe sur l'étagère, parce qu'elle était trop lourde .",la carafe,l'étagère,
72,Pierre jouait aux cartes avec Adam qui menait au score. Si la chance d'Adam n'avait pas tourné il aurait perdu .,Pierre,Adam,
73,Un chien s'était assis sur la pelouse mais il s'est rapidement déplacé sous un arbre parce qu'il y faisait trop chaud .,sur la pelouse,sous l'arbre,
74,Anne a accouché d'une fille le mois dernier. C'est une mère épanouie .,Anne,la fille d'Anne,
75,Le chien courait après un chat qui a alors grimpé dans un arbre. Il est resté en bas toute la nuit.,le chien,le chat,
76,Jean faisait son jogging dans le parc quand il a vu un homme jongler avec des pastèques. Il était très impressionné .,Jean,le jongleur,
77,Boris a fait un malaise sur le trottoir et Carlo s'est approché pour l'aider. Il était très faible .,Boris,Carlo,
78,Pierre et Marc sont poursuivis pour diffamation. Pierre a écrit dans leur livre plusieurs faux témoignages que Marc a colportés. Il aurait dû être plus honnête .,Pierre,Marc,
79,Marie a pris son violon pour jouer un de ses morceaux favoris. Elle le possède depuis son enfance.,le violon,le morceau,
80,"Sarah a emprunté un livre à la bibliothèque, elle en a besoin pour un article sur lequel elle travaille. Elle le lira à la maison.",le livre,l'article,
82,"Esther pense qu'elle économisera sur les frais de port si elle installe son usine à Toulouse au lieu de Lille. En effet, beaucoup de ses clients y habitent.",Toulouse,Lille,
83,Les scientifiques étudient trois espèces de poissons trouvées récemment dans l'océan indien. Ils ont commencé il y a deux ans.,les scientifiques,les poissons,
84,"Thomas a dit ""échec"" à Raphaël et a déplacé son fou.",de Thomas,de Raphaël,
85,"Lilianne s'est adressée à Marie, brisant son silence .",de Liliane,de Marie,
86,Denis a dû empêcher Benoît de maltraiter l'oiseau blessé. Il est vraiment compatissant .,Denis,Benoît,
87,"Prise en tenaille par la défense, Emma n'a pas pu envoyer la balle à Jeanine alors qu'elle avait vu qu'elle était démarquée .",Emma,Jeanine,
88,"Le scooter a dépassé le bus scolaire, car il roulait trop vite .",Le scooter,Le bus scolaire,
89,"Frank fut flatté quand Marc, son adversaire, a dit qu'il méritait largement sa victoire.",Frank,Marc,
90,L'éponge de Paul va abîmer la carafe : elle est en fer .,l'éponge,la carafe,
91,Jean n'a pas pu voir la scène : Benoît était devant lui et il est plus petit .,Jean,Benoît,
92,Anna a mieux réussi l'examen que son amie Lucy car elle avait beaucoup révisé.,Anna,Lucy,
93,Les pompiers sont arrivés avant les policiers alors qu'ils venaient de plus loin.,Les pompiers,Les policiers,
94,"Jérémy s'est emporté contre Kevin, car il était très contrarié.",Jérémy,Kevin,
95,"Le sac de pommes de terre est au-dessus du sac de farine, donc il faudra le déplacer en premier.",le sac de pommes de terre,le sac de farine,
96,J'ai étalé la nappe sur la table pour la montrer .,la nappe,la table,
97,Sylvie est au courant de tous les problèmes personnels de Marie car elle est curieuse .,Sylvie,Marie,
98,Sandrine a appris que le fils d'Anne avait eu un accident donc elle l'a prévenue.,Sandrine,Anne,
99,"Le frère jumeau de Joël arrive toujours à le battre au tennis, même s'il a suivi deux ans de cours en moins .",le frère de Joël,Joël,
100,Le tableau dans le salon de Mark représente un arbre. Il est placé à droite de la bibliothèque .,le tableau,l'arbre,
101,J'ai sorti le portable de mon sac pour qu'il soit plus accessible .,le portable,mon sac,
102,"Je suis sûre que ce monument est dans mon guide, il est incontournable .",le monument,le guide,
103,La chatte attendait la souris à côté du trou. Elle était très impatiente .,la chatte,la souris,
104,"J'ai mis la clé dans la serrure, mais elle était bouchée avec du chewing-gum, je n'ai pas pu l' extirper .",la clé,la serrure,
105,Le braqueur est entré dans la banque et a poignardé un des guichetiers. Il a été condamné presque immédiatement.,le braqueur,le guichetier,
106,Samuel et Amélie sont passionnément amoureux mais les parents d'Amélie sont contre cette relation car ils sont jeunes .,Samuel et Amélie,les parents d'Amélie,
107,Les renards viennent la nuit dans la cour et attaquent les lapins. Ils sont devenus téméraires .,les renards,les lapins,
108,Gabrielle est contente d'avoir échangé son pull contre mon gilet. Elle pense qu'il est très démodé .,le pull,le gilet,
28,Regarde! Il y a un têtard qui nage juste en dessous de ce canard ! Il devrait vite se mettre à l'abri !,,,
57,J'ai lâché une aile de papillon sur la table et elle s'est cassée.,,,
