id,sentence,paraphrased_sentence,option1,option2,answer
109,L’adolescent a trouvé que le nouveau chapeau ne remplaçait pas sa chemise cool.  _ était juste cool à porter à l’école.,"L'adolescent a constaté que le nouveau chapeau ne remplaçait pas sa chemise cool. C'était juste cool à porter à l'école,  _.",le chapeau,la chemise,2
110,Mary aidait la fille de Patricia à se maquiller mais _ regarde beaucoup de tutoriels de maquillage.,"Mary aidait la fille de Patricia à se maquiller, mais celle qui regarde beaucoup de tutoriels de maquillage est _.",Mary,Patricia,2
111,Mary aidait la fille de Patricia à se maquiller parce que _ regarde beaucoup de tutoriels de maquillage.,"Mary aidait la fille de Patricia à se maquiller, car celle qui regarde beaucoup de tutoriels de maquillage est _.",Mary,Patricia,1
112,Il voulait passer le temps à la maison plutôt qu’au terrain de jeu parce que tout le monde au _ était amusant.,"Il voulait tuer le temps à la maison plutôt qu'au terrain de jeu, parce que tout le monde s'amusait au _.",terrain de jeux,maison,2
113,Dieu aimait contrôler le jour et la nuit mais le _ était trop lumineux.,"Dieu aimait contrôler le jour et la nuit, mais il faisait trop clair pendant les _.",jour,nuit,1
114,"Amy pensait être le miroir de Natalie, mais _ ne pouvait pas être convaincue de voir la ressemblance.","Amy pensait qu'elle était l'image inversée de Natalie, mais celle qui ne pouvait pas être convaincue de la similitude était _.",Amy,Natalie,2
115,La feuille récupérée peut facilement se cacher dans l’espace de la porte. _ est fine.,La feuille récupérée peut facilement être cachée entre les espaces de la porte en raison de la minceur de _.,la feuille,l'espace,1
116,La feuille récupérée peut facilement se cacher dans l’espace de la porte. _ est large.,"Entre l'espace de la porte, la feuille récupérée peut facilement être cachée en raison de la largeur de  _.",la feuille,l'espace,2
117,Steven pense qu’on peut acheter le bonheur mais Craig pense le contraire car _ est très réaliste.,"Steven pense qu'ils peuvent acheter le bonheur, mais Craig pense le contraire, car le plus réaliste est _.",Steven,Craig,2
118,Steven pense qu’on peut acheter le bonheur mais Craig pense le contraire car _ est très matérialiste.,"Steven pense qu'on peut acheter le bonheur, mais Craig pense le contraire, car celui qui est très matérialiste est _.",Steven,Craig,1
119,Pendant l’entraînement Rachel a poussé Megan dans ses retranchements pour se préparer au match parce que _ était l’entraîneur.,"Tout au long de l'entraînement, Rachel a repoussé les limites de Megan pour qu'elle soit prête pour le match parce que l'entraîneur était _.",Rachel,Megan,1
120,"Brett naviguait sur internet quand il a trouvé l’information contrairement à Randy, _ préfère utiliser des livres.","Brett naviguait sur Internet et a trouvé l'information, contrairement à Randy. Celui qui préfère utiliser les livres est _.",Brett,Randy,2
121,Dennis sait que Jeffrey aime les animaux et _ sait qu’il veut aller au zoo pour les voir.,"Dennis sait que Jeffrey est un amoureux des animaux et qu'il veut aller au zoo pour les voir, ce qui est connu par _.",Dennis,Jeffrey,1
122,Le président a fait son discours à l’auditorium plutôt qu’au parc parce que _ était plus grand.,Le président a prononcé son discours à l'auditorium plutôt qu'au parc parce que la location la plus grande était  _.,auditorium,parc,1
123,"Quand Steven a découvert que son T-shirt avait rétréci au lavage, la première réaction de Robert a été de rire, et _ est ensuite devenu en colère.","Lorsque Steven a constaté que leur T-shirt avait rétréci dans la blanchisserie, la première réaction de Robert a été de rire. Celui qui s'est ensuite mis en colère est _.",Steven,Robert,1
124,Rebecca pensait que les films Disney étaient les meilleurs à regarder mais Samantha préférait les films d’horreur. _ a loué Saw chez Redbox.,"Rebecca pensait que les films de Disney étaient la meilleure chose à regarder, mais Samantha préférait les films d'horreur. C'est ainsi que _ a loué Saw dans Redbox.",Rebecca,Samantha,2
125,Laura a apporté des extensions à Monica au salon pour que _ puisse traiter ses dreadlocks de manière professionnelle.,"Laura a apporté des extensions à Monica au salon, afin que _ puisse traiter leurs dreads de manière professionnelle.",Laura,Monica,2
126,Samuel a essayé sans succès de convaincre Brett de sécher l’école parce que _ était un élève absentéiste qui ne suivait pas les règles.,Samuel a essayé en vain de convaincre Brett de sécher l'école parce que l'absentéiste qui ne respectait pas les règles était _.,Samuel,Brett,1
127,"L’administration fiscale a envoyé une lettre à Tim l’informant de l’audit, qui pouvait avoir lieu à la maison ou au bureau. Tim a choisi le cadre confortable de _ .","L'IRS a envoyé à Tim une lettre l'informant de l'audit, qui pouvait avoir lieu à la maison ou au bureau.  Tim a choisi le cadre confortable de _ .",bureau,maison,2
128,Mon arme a été inspectée avec un chiffon pour s’assurer qu’elle fonctionnait bien. _ était doux.,Mon arme a été inspectée à l'aide d'un chiffon pour s'assurer qu'elle fonctionnait correctement. L'objet mou était  _.,le chiffon,arme,1
129,"La température en hiver est très différente de celle de l’été, _ est toujours plus basse.","La température en hiver est très différente de celle de l'été, la basse saison étant toujours _.",été,l'hiver,2
130,Rachel a dit à Patricia d’acheter du talc au magasin mais _ avait aussi les pieds moites.,"Rachel a dit à Patricia d'aller chercher de la poudre pour bébé au magasin, mais celle qui avait aussi les pieds moites était _.",Rachel,Patricia,2
131,"À la plage, Emily a ramassé des coquillages pour sa mère Maria. _ a poli les coquillages avant de les offrir.","À la plage, Emily a ramassé des coquillages pour sa mère Maria. Avant de les offrir, les coquillages ont été polis par _.",Emily,Maria,1
132,"Victoria était impatiente de conclure la grosse vente avec Sarah, car _ avait l’argent ce jour-là.","Victoria était impatiente de faire la grande vente à Sarah, car celle qui avait l'argent ce jour-là était _.",Victoria,Sarah,2
133,"Robert prenait des cours de chant avec Randy, parce que _ était connu pour être dans American Idol.",Robert a pris des cours de chant auprès de Randy en raison de l'apparition connue de _ sur American Idol.,Robert,Randy,2
134,À la plage Cynthia aimait porter un bikini mais Laura non parce que _ avait un ventre plat.,"Sur la plage, Cynthia aimait porter un bikini, mais pas Laura, à cause du ventre plat de _.",Cynthia,Laura,1
135,"Au lycée Matthew était le plus populaire auprès des professeurs tout comme Steven l’était auprès des élèves, _ était apprécié par les adolescents.","Au lycée, Matthew était le plus populaire parmi les enseignants, Steven était le plus populaire parmi les élèves. Celui que les adolescents aimaient le plus était _.",Matthew,Steven,2
136,Lawrence aimait regarder des films étrangers avec des sous-titres contrairement à Jason parce que _ critiquait la langue originale du film.,"Lawrence aimait regarder des films étrangers sous-titrés, contrairement à Jason, car la langue originale du film était critiquée par _.",Lawrence,Jason,2
137,Lawrence aimait regarder des films étrangers avec des sous-titres contrairement à Jason parce que _ appréciait la langue originale du film.,"Lawrence aimait regarder des films étrangers sous-titrés, contrairement à Jason, car la langue originale du film était appréciée par _.",Lawrence,Jason,1
138,Victoria pleurait encore la mort d’un ami plus qu’Elena parce que _ avait une relation très proche avec cet ami.,"Victoria pleurait encore la mort d'une amie plus qu'Elena, parce que celle qui avait une relation très proche avec cette amie était _.",Victoria,Elena,1
139,"Samantha suivait strictement son régime tandis que Sarah mangeait ce qu’elle voulait, et _ a mangé du poulet et du brocoli toute la semaine.","Samantha a suivi leur régime à la lettre tandis que Sarah a mangé ce dont elle avait envie, et toute la semaine, c'est du poulet et des brocolis que _ a mangé.",Samantha,Sarah,1
140,Il semblait plus probable que Brett porte un fedora plutôt que Justin parce que _ était connu pour s’habiller avec style.,"Il semblait plus probable que Brett porte un fedora plutôt que Justin, car celui qui était connu pour s'habiller avec style était _.",Brett,Justin,1
141,Il semblait plus probable que Brett porte un fedora plutôt que Justin parce que _ ne s’habillait pas souvent avec style.,"Il semblait plus probable que Brett porte un fedora plutôt que Justin, car celui qui ne s'habillait pas souvent de manière élégante était _.",Brett,Justin,2
142,Mon visage était plus familier au bar qu’à la salle de sport parce que j’allais très rarement  _.,Mon visage était plus familier au bar qu'à la salle de sport car je n'allais que très rarement  _.,au bar,á la salle du sport,2
143,Emily a dit que le hijab de Victoria était ridicule et démodé. _ a entendu des choses très offensantes.,Emily a déclaré que le hijab de Victoria était ridicule et démodé. Des propos très offensants ont été entendus par _.,Emily,Victoria,2
144,Emily a dit que le hijab de Victoria était ridicule et démodé. _ a dit des choses très offensantes.,Emily a déclaré que le hijab de Victoria était ridicule et démodé. Des propos très offensants ont été tenus par _.,Emily,Victoria,1
145,Ian devait ajuster le rétroviseur et Craig non parce que _ était plus petit que le propriétaire de la voiture.,Ian a dû ajuster le rétroviseur et Craig ne l'a pas fait parce que le propriétaire de la voiture était plus grand que _.,Ian,Craig,1
146,On m’a dit que ma vue baissait donc je dois prendre des lunettes ou des lentilles. Je pense que je ne prendrai pas les lentilles puisque _ semblent moins confortables.,On m'a dit que mes yeux ne fonctionnaient plus et que je devais porter des lunettes ou des lentilles. Je ne pense pas que je prendrai des lentilles. Celles qui semblent moins confortables sont les _.,les lunettes,les lentilees,2
147,Je me demande toujours pourquoi les gens préfèrent lire dans une bibliothèque plutôt qu’à la maison parce que le manque de personnes  à _ faciliterait la concentration.,Je me demande toujours pourquoi les gens préfèrent lire dans une bibliothèque plutôt qu'à la maison parce qu'il est plus facile de se concentrer en raison de l'absence de personnes à _.,la bibliothèque,la maison,2
148,Je me demande toujours pourquoi les gens préfèrent lire dans une bibliothèque plutôt qu’à la maison parce que le nombre de personnes au _ rendrait la concentration difficile.,"Je me demande toujours pourquoi les gens préfèrent lire dans une bibliothèque plutôt que chez eux, parce qu'il serait difficile de se concentrer avec le nombre de personnes présentes à la _.",la bibliothèque,la maison,1
149,Le jus de la mangue ne pouvait pas remplir la tasse parce que _ est petit.,Le jus de la mangue n'a pas pu remplir la tasse en raison de la petite taille de _.,mangue,tasse,1
150,Bobby a dû utiliser son stylo pour terminer l’examen plutôt que le crayon parce que _ était plein d’encre.,"Bobby a dû utiliser son stylo pour terminer l'examen plutôt que son crayon, car il y avait beaucoup d'encre dans le _.",stylo,crayon,1
151,Erin a montré à Maria comment utiliser correctement la fourchette et le couteau puisque _ avait fréquenté une école d’étiquette.,"Erin a montré à Maria comment utiliser la fourchette et le couteau de manière appropriée, puisque celle qui a fréquenté l'école d'étiquette était _.",Erin,Maria,1
152,Rebecca a demandé à Kayla d’éteindre les lumières mais _ ne voulait pas aller dormir.,"Rebecca demande à Kayla d'éteindre la lumière, mais c'est _ qui ne veut pas s'endormir.",Rebecca,Kayla,2
153,Jason considère Benjamin et lui comme amis donc _ fait beaucoup d’efforts dans leur relation.,"Jason considère que Benjamin et lui sont des amis, et _ fait donc beaucoup d'efforts pour améliorer leur relation.",Jason,Benjamin,1
154,Jason considère Benjamin et lui comme amis même si _ fait peu d’efforts dans leur relation.,"Jason considère que Benjamin et lui sont amis, même si _ ne fait pas beaucoup d'efforts pour améliorer leur relation.",Jason,Benjamin,2
155,Matt voulait changer soit la salle de bain simple soit la chambre colorée mais _ était déjà colorée.,"Matt voulait changer soit la salle de bain ordinaire, soit la chambre colorée, mais celle qui l'était déjà était la _.",la chambre,la salle de bain,1
156,Matt voulait changer soit la salle de bain simple soit la chambre colorée mais _ était déjà simple.,"Matt voulait changer soit la salle de bain sobre, soit la chambre colorée, mais celle qui était déjà sobre était la _.",la chambre,la salle de bain,2
157,La neige est tombée tellement fort que Michael a dû déneiger l’allée de Kevin parce que _ avait accepté de s’occuper de ses voisins.,"La neige est tombée en si grande quantité que Michael a dû déneiger l'allée de Kevin, car il existait un accord entre ses voisins et _ pour s'occuper de son allée.",Michael,Kevin,1
158,La fille a utilisé le peigne pour essayer de se brosser les cheveux mais _ était trop souple.,"La jeune fille a utilisé le peigne pour se brosser les cheveux, même si le fait qu'ils soient trop doux reste un problème pour la _.",cheveux,peigne,2
159,Sarah lève les yeux au ciel pendant que Monica vante les vertus du vinaigre comme solution de nettoyage universelle puisque _ s’ennuie.,"Sarah roule des yeux tandis que Monica vante les vertus du vinaigre comme solution de nettoyage pour tout, puisque celui qui s'ennuie est _.",Sarah,Monica,1
160,Nelson a toujours eu les meilleures amitiés sauf avec Neil puisque _ était toujours si poli.,"Nelson a toujours eu les meilleures amitiés, sauf avec Neil, à cause de la politesse de _.",Nelson,Neil,1
161,"Derrick aimait vraiment travailler dans les ressources humaines et William voulait travailler dans la même entreprise, et _ a ensuite accepté un poste.","Derrick aimait beaucoup travailler dans les ressources humaines et William voulait travailler dans la même entreprise, et le poste a ensuite été accepté par _.",Derrick,William,2
162,La chambre à l’hôtel coûtait plus cher que la chambre à l’auberge parce que _ était plus agréable.,La chambre de l'hôtel a coûté plus cher que celle de l'auberge parce qu'elle était plus belle à _.,hôtel,auberge,1
163,Il trouvait plus difficile d’écrire la lettre que le courriel parce que _ avait si peu de mots.,Il a trouvé qu'il était plus difficile d'écrire la lettre que l'e-mail en raison du peu de mots que contenait le _.,lettre,e-mail,2
164,Carrie adore mettre du sucre dans le café contrairement à Laura parce que _ pense que le café a meilleur goût.,"Carrie aime mettre du sucre dans le café, contrairement à Laura, parce que le café a meilleur goût, du moins c'est ce que pense _.",Carrie,Laura,1
165,Ben devait vider à la fois l’eau et l’huile dans l’évier mais _ était trop visqueux.,"Ben a dû vidanger l'eau et l'huile dans l'évier, mais celle qui s'est avérée trop visqueuse était la _.",l'huile,l'eau,1
166,Ben devait vider à la fois l’eau et l’huile dans l’évier mais _ était trop fluide.,"Ben a dû vidanger l'eau et l'huile dans l'évier, mais c'est  _ qui s'est avéré trop liquide.",l'huile,l'eau,2
167,John a peint le poteau en rouge proche de la couleur du mur et a peint le cadre en blanc et maintenant _ est similaire.,"John a peint le poteau en rouge, proche de la couleur du mur, et a peint le cadre en blanc, ce qui fait que le poteau similaire est maintenant le _.",cadre,champ,2
168,"Les cheveux de Ian sont en train d’être coiffés par Craig, donc il est plus probable que _ soit le client.","Les cheveux de Ian sont coiffés par Craig, il est donc plus probable que le client soit _.",Ian,Craig,1
169,Erin a un adolescent tandis que Patricia a des enfants en bas âge parce que _ est devenue mère plus tard.,"Erin a un adolescent, tandis que Patricia a des enfants en bas âge, car _ est devenue mère plus tard.",Erin,Patricia,2
170,Neil était un élève très populaire à l’école contrairement à Jeffrey parce que _ était très extraverti.,"Neil était très populaire à l'école, contrairement à Jeffrey, à cause de l'extraversion de _.",Neil,Jeffrey,1
171,Le match à la télévision était très important pour Ian mais pas pour Dennis parce que _ s’intéressait plutôt à la musique.,"Le match télévisé était très important pour Ian, mais pas pour Dennis, car celui qui s'interesse à la musique était _.",Ian,Dennis,2
172,"Lors du bal de rentrée du lycée, Natalie est restée sur la piste pour la danse lente tandis que Maria allait chercher à manger parce que _ avait rompu avec son partenaire.","Lors du bal de fin d'année de leur lycée, Natalie est restée sur la piste pour le slow tandis que Maria a mangé pendant le bal, parce que celle qui avait rompu avec son compagnon était _.",Natalie,Maria,2
173,"Lors du bal de rentrée du lycée, Natalie est restée sur la piste pour la danse lente tandis que Maria allait chercher à manger parce que _ avait actuellement un partenaire.","Lors du bal de fin d'année de leur lycée, Natalie est restée sur la piste pour le slow tandis que Maria a mangé pendant le bal, parce que celle qui avait un partenaire était _.",Natalie,Maria,1
174,"Adam passait toujours tout son temps libre à regarder la télévision contrairement à Hunter qui faisait du bénévolat, en raison de _ étant paresseux.","Adam passait tout son temps libre à regarder la télévision, contrairement à Hunter qui se portait volontaire, en raison de la paresse de _.",Adam,Hunter,1
175,Samantha devait utiliser le pot tandis que Felicia utilisait les toilettes parce que _ est adulte.,Samantha a dû aller sur le pot pendant que Felicia allait aux toilettes parce que l'adulte ici est _.,Samantha,Felicia,2
176,"S’abstenir de boire était facile pour Kyle mais pas pour Eric, puisque _ n’a jamais apprécié le goût de l’alcool.","S'abstenir de boire était facile pour Kyle, mais pas pour Eric, car _ n'a jamais apprécié le goût de l'alcool.",Kyle,Eric,1
177,"Kenneth est accusé d’avoir détruit des cloisons sèches dans la maison de Jeffrey, _ loue la maison.","Kenneth est accusé d'avoir détruit des cloisons sèches dans la maison de Jeffrey, qui est louée par _.",Kenneth,Jeffrey,2
178,John a décidé de cultiver une nouvelle variété de plante dans son jardin mais _ est grand.,"John a décidé de faire pousser une nouvelle espèce de plante dans son jardin, mais il s'avère qu'elle est très grande, la _.",jardin,plante,2
179,Angela aimait porter des lunettes de soleil mais Jessica non. _ a acheté une nouvelle paire de chaussures élégantes.,"Angela aimait porter des lunettes de soleil, mais pas Jessica. _ a acheté une nouvelle paire de chaussures de luxe.",Angela,Jessica,2
180,Mary dit à tout le monde que Christine est trop collante parce que _ aime être touchée.,Mary dit à tout le monde que Christine est trop collante parce que celle qui aime être touchée est _.,Mary,Christine,2
181,James est tombé dans un fossé en essayant d’attraper le ballon lancé vers lui. _ est plus loin.,"James a marché dans un fossé en essayant d'attraper la balle qu'on lui lançait, l'objet le plus éloigné étant  _.",le fossé,la balle,2
182,"Christopher a essayé de vider toute l’eau du réservoir dans le jardin parce que Michael le lui avait demandé, mais _ n’a pas réussi à tout vider.","Christopher a essayé de vider toute l'eau du réservoir dans la cour parce que Michael le lui avait demandé, mais _ n'a pas réussi à tout faire sortir.",Christopher,Michael,1
183,La montre ne pouvait pas s’ajuster correctement au bras parce qu’elle avait été coupée par une lame. _ était court.,La montre ne pouvait pas être placée correctement sur le bras parce qu'elle avait été coupée par une lame. L'article court était  _.,la montre,la lame,1
184,"Chez Jan, elle dépoussiérait la commode plus souvent que le ventilateur parce que _ était plus facile à atteindre.","Chez Jan, elle époussetait plus souvent la commode que le ventilateur, car il était plus facile d'atteindre  _.",le ventilateur,la commode,2
185,"Chez Jan, elle dépoussiérait la commode plus souvent que le ventilateur parce que _ était plus difficile à atteindre.","Chez Jan, elle époussetait plus souvent la commode que le ventilateur, car il était plus difficile d'atteindre  _.",le ventilateur,la commode,1
186,"Michael a préparé des œufs marinés pour Kenneth, mais _ aimait vraiment les siens et voulait les partager.","Michael a préparé des œufs au vinaigre pour Kenneth, mais la personne qui aimait vraiment les siens et voulait les partager était _.",Michael,Kenneth,2
187,Le chien a couru dans la chambre pendant l’orage tandis que nous sommes restés dans la cuisine parce que la pluie était plus douce dans _ .,"Le chien s'est réfugié dans la chambre à coucher pendant l'orage, tandis que nous sommes restés dans la cuisine parce que la pluie était plus douce dans la _ .",cuisine,chambre,2
188,"Robert n’était tout simplement pas aussi stoïque que Joel, puisque _ avait tendance à gérer les choses avec grâce.","Robert n'était tout simplement pas aussi stoïque que Joel, car _ avait tendance à gérer les choses avec élégance.",Robert,Joel,2
189,"Mon employeur offre une prime sous forme de téléphone ou de télévision, mais malheureusement _ est beaucoup trop grand pour être utile.","Mon employeur offre en prime un téléphone ou une télévision, mais malheureusement, l'objet qui est bien trop grand pour être utile est le _.",le téléphone,la télévision,1
190,"Mon employeur offre une prime sous forme de téléphone ou de télévision, mais malheureusement _ est beaucoup trop petit pour être utile.","Mon employeur offre en prime un téléphone ou une télévision, mais malheureusement, ce qui est bien trop petit pour être utile est _.",le téléphone,la télévision,2
191,"Au bal, Adam a invité la fille à danser avant Donald, donc _ est en colère contre lui-même.","Parce qu'Adam a demandé à la fille du bal de danser avant Donald, celui qui est en colère contre lui-même est _.",Adam,Donald,2
192,Les livres de fiction étaient intéressants et faciles à lire pour Logan mais pas pour Brett parce que _ préférait des histoires vraies.,"Les livres de fiction étaient intéressants et faciles à lire pour Logan, mais pas pour Brett, car les histoires vraies étaient ce que _ aimait.",Logan,Brett,2
193,Personne n’aurait remarqué la tache sur cette peau parce que _ est petite.,Personne n'aurait remarqué la tache sur cette peau en raison de la petite taille de _.,la tache,la peau,1
194,"Je ne savais pas quel serait mon costume pour Halloween, Peter Pan ou Blanche-Neige. Si je choisis le costume de _  je devrais porter une robe.",Je n'arrivais pas à savoir quel serait mon costume pour Halloween : Peter Pan ou Blanche-Neige. Je devrais porter une robe si je choisissais le costume de _.,Peter Pan,Blanche-Neige,2
195,"Je ne savais pas quel serait mon costume pour Halloween, Peter Pan ou Blanche-Neige. Si je choisis le costume de _ je devrais me déguiser en garçon.",Je n'arrivais pas à savoir quel serait mon costume pour Halloween : Peter Pan ou Blanche-Neige. Je devrais me transformer en garçon si je choisissais le costume de _.,Peter Pan,Blanche-Neige,1
196,"Des deux propriétaires, Jessica était bien pire que Jennifer parce que _ aimait s’occuper des chiens.","Des deux propriétaires, Jessica était bien pire que Jennifer car celle qui aimait garder les chiens était _.",Jessica,Jennifer,2
197,"Christopher se préparait à laver les cheveux de Joel, donc _ a sorti du shampoing près de l’évier et s’est assis sur la chaise.","Christopher s'apprêtait à laver les cheveux de Joël, et c'est _ qui a pris le shampoing près de l'évier et s'est assis sur la chaise.",Christopher,Joel,2
198,Laura a demandé à Rachel si elle pouvait emprunter des vêtements parce que _ adorait son sens de la mode.,"Laura a demandé à Rachel si elle pouvait lui emprunter des vêtements, car son sens de la mode faisait l'admiration de _.",Laura,Rachel,1
199,"Erin connaissait le cadeau parfait pour la fête prénuptiale, mais Samantha devait faire des recherches, car _ connaissait moins bien la mariée.","Erin connaissait le cadeau parfait pour la fête prénuptiale, mais Samantha devait faire des recherches, car la mariée connaissait à peine _.",Erin,Samantha,2
200,Elle voulait acheter plus de vêtements et a finalement choisi la robe en velours plutôt que la veste en jean parce que _ était plus adapté au quotidien.,"Elle voulait acheter d'autres vêtements et a finalement opté pour la robe en velours au lieu de la veste en jean, car l'article le plus décontracté était le _.",robe,veste,2
201,"Laura n’a absolument rien acheté pour l’anniversaire de Betty, parce que _ a oublié d’en parler.","Betty a oublié d’en parler, et c’est pour cela que Laura n’a rien acheté pour l’anniversaire de _.",Laura,Betty,2